ctag	en	en_female
Tag_NationId	0	0
Tag_Language	English	English
1st Team	1st Team	1st Team
Abilities	Abilities	Abilities
About	About	About
Accept	Accept	Accept
Achievement	Achievement	Achievement
ACHIEVEMENT_1	Upgrade the TRAINING GROUND	Upgrade the TRAINING GROUND
ACHIEVEMENT_10	Build a CLUB STORE	Build a CLUB STORE
ACHIEVEMENT_11	Build a MEDICAL UNIT	Build a MEDICAL UNIT
ACHIEVEMENT_12	Hire a PHYSIO	Hire a PHYSIO
ACHIEVEMENT_13	Build a SCOUT'S OFFICE	Build a SCOUT'S OFFICE
ACHIEVEMENT_14	Hire a SCOUT	Hire a SCOUT
ACHIEVEMENT_15	Upgrade the FITNESS CENTRE	Upgrade the FITNESS CENTRE
ACHIEVEMENT_16	Have a successful press conference	Have a successful press conference
ACHIEVEMENT_17	Build a YOUTH ACADEMY	Build a YOUTH ACADEMY
ACHIEVEMENT_18	Upgrade the PITCH	Upgrade the PITCH
ACHIEVEMENT_19	Win a league game	Win a league game
ACHIEVEMENT_20	Win a cup game	Win a cup game
ACHIEVEMENT_21	Win a cup tournament	Win a cup tournament
ACHIEVEMENT_22	Win a continental club match	Win a continental club match
ACHIEVEMENT_23	Win a continental club tournament	Win a continental club tournament
ACHIEVEMENT_24	Score a goal	Score a goal
ACHIEVEMENT_25	Score 3 goals in a match	Score 3 goals in a match
ACHIEVEMENT_26	Win a match by 5 goals	Win a match by 5 goals
ACHIEVEMENT_27	Make 10 passes in 1 match	Make 10 passes in 1 match
ACHIEVEMENT_28	Make 20 passes in 1 match	Make 20 passes in 1 match
ACHIEVEMENT_29	Get promoted	Get promoted
ACHIEVEMENT_3	Adjust team formation	Adjust team formation
ACHIEVEMENT_30	Win the league title	Win the league title
ACHIEVEMENT_31	Go unbeaten in the league	Go unbeaten in the league
ACHIEVEMENT_32	Do the treble (league, cup and continental cup)	Do the treble (league, cup and continental cup)
ACHIEVEMENT_33	Sign a sponsorship deal	Sign a sponsorship deal
ACHIEVEMENT_34	Buy a SCOUTED player	Buy a SCOUTED player
ACHIEVEMENT_35	Sign a YOUTH player	Sign a YOUTH player
ACHIEVEMENT_36	Use an NRG card 	Use an NRG card 
ACHIEVEMENT_37	Have a player meeting 	Have a player meeting 
ACHIEVEMENT_38	Use a TREATMENT card	Use a TREATMENT card
ACHIEVEMENT_39	Use a contract extension card	Use a contract extension card
ACHIEVEMENT_4	Play a match	Play a match
ACHIEVEMENT_40	Use a team talk card	Use a team talk card
ACHIEVEMENT_41	Use a ban appeal card	Use a ban appeal card
ACHIEVEMENT_42	Use a staff boost card	Use a staff boost card
ACHIEVEMENT_43	Get 100% BOARD relationship	Get 100% BOARD relationship
ACHIEVEMENT_44	Get 100% FANS relationship	Get 100% FANS relationship
ACHIEVEMENT_45	Get 100% SPONSORS relationship	Get 100% SPONSORS relationship
ACHIEVEMENT_46	Play for 10 seasons	Play for 10 seasons
ACHIEVEMENT_47	Score 20 goals	Score 20 goals
ACHIEVEMENT_48	Score 50 goals	Score 50 goals
ACHIEVEMENT_49	Score 100 goals	Score 100 goals
ACHIEVEMENT_5	Use a SKILL training card	Use a SKILL training card
ACHIEVEMENT_50	Score 250 goals	Score 250 goals
ACHIEVEMENT_51	Score 500 goals	Score 500 goals
ACHIEVEMENT_52	Score 1000 goals	Score 1000 goals
ACHIEVEMENT_53	Score a tap-in	Score a tap-in
ACHIEVEMENT_54	Score a goal from outside the penalty box	Score a goal from outside the penalty box
ACHIEVEMENT_55	Score a goal from 30 yards	Score a goal from 30 yards
ACHIEVEMENT_56	Score a goal from 40 yards	Score a goal from 40 yards
ACHIEVEMENT_57	Hire a SKILLS Coach	Hire a SKILLS Coach
ACHIEVEMENT_58	Hire a FITNESS Coach	Hire a FITNESS Coach
ACHIEVEMENT_59	Hire a YOUTH Coach	Hire a YOUTH Coach
ACHIEVEMENT_6	Use a FITNESS training card	Use a FITNESS training card
ACHIEVEMENT_7	Successfully complete BOARD targets	Successfully complete BOARD targets
ACHIEVEMENT_8	Adjust your ticket prices	Adjust your ticket prices
ACHIEVEMENT_9	Upgrade your STADIUM	Upgrade your STADIUM
AchievementProgress	Achievement Progress: 	Achievement Progress: 
Achievements	Achievements	Achievements
addictedRating_0	This game looks fun, let's check it out.	This game looks fun, let's check it out.
